2025-03-14 12:47:43 WARN  Logging - Value entered: -10; Value must be >= 0 and <= 50!

2025-03-14 12:47:46 ERROR Logging - A non-integer value was entered! Integer values only!
java.lang.NumberFormatException: For input string: "hello"
	at java.base/java.lang.NumberFormatException.forInputString(NumberFormatException.java:67) ~[?:?]
	at java.base/java.lang.Integer.parseInt(Integer.java:662) ~[?:?]
	at java.base/java.lang.Integer.parseInt(Integer.java:778) ~[?:?]
	at com.seminolestate.jared.Logging.parseInt(Logging.java:64) [classes/:?]
	at com.seminolestate.jared.Logging.main(Logging.java:29) [classes/:?]
2025-03-14 12:47:51 INFO  Logging - Value at 0 term: 0
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 1 term: 1
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 2 term: 1
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 3 term: 2
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 4 term: 3
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 5 term: 5
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 6 term: 8
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 7 term: 13
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 8 term: 21
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 9 term: 34
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 10 term: 55
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 11 term: 89
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 12 term: 144
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 13 term: 233
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 14 term: 377
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 15 term: 610
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 16 term: 987
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 17 term: 1597
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 18 term: 2584
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 19 term: 4181
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
2025-03-14 12:47:51 INFO  Logging - Value at 20 term: 6765
2025-03-14 12:47:51 INFO  Logging - Time taken to calculate: 0 milliseconds
